Name,Link,MRP,DiscountedPrice,DiscountPercent
Atta - Whole Wheat 5 kg + Iodised Salt 1 kg,https://www.bigbasket.com/pd/1220743/aashirvaad-atta-whole-wheat-5-kg-iodised-salt-1-kg-combo-pouch/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,346,297,14
Atta - Whole Wheat 10 kg + Iodised Salt 1 kg,https://www.bigbasket.com/pd/1220742/aashirvaad-atta-whole-wheat-10-kg-iodised-salt-1-kg-combo-pouch/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,604,482,20
Refined Sugar (Sulphurless)/Sakkare,https://www.bigbasket.com/pd/10000407/bb-royal-refined-sugar-sulphurless-5-kg/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,300,231,23
Poha/Avalakki/Aval/Chivda- Thick,https://www.bigbasket.com/pd/10000431/bb-royal-pohaavalakkiavalchivda-thick-1-kg-pouch/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,100,63,37
Organic - Toor Dal/Togari Bele,https://www.bigbasket.com/pd/40075469/bb-royal-organic-turtoor-dal-2-kg/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,419,312,26
Ghee/Tuppa,https://www.bigbasket.com/pd/252429/grb-ghee-500-ml-bottle/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,425,383,42
Ghee/Tuppa,https://www.bigbasket.com/pd/252429/grb-ghee-500-ml-bottle/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,425,383,42
Moong Dal/Hesaru Bele,https://www.bigbasket.com/pd/40053931/bb-royal-moong-dal-2-kg-pouch/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,400,303,24
"Select Sharbati Atta - Rich In Nutrients, For Soft & Fluffy Roti",https://www.bigbasket.com/pd/40236231/aashirvaad-select-sharbati-atta-100-mp-whole-wheat-rotis-stay-softer-for-longer-10-kg/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,680,578,15
Rice Flour,https://www.bigbasket.com/pd/10000458/bb-royal-rice-flour-1-kg-pouch/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,60,42,30
